³Ô,5,3,0,2
³Õ,5,4,3,3
³Ö,4,3,3,1
³×,6,5,1,2
³Ø,1,4,3,2
³Ù,4,3,2,2
³Ú,4,7,2,1
³Û,4,7,2,1
³Ü,5,4,0,1
³Ý,3,4,1,1
³Þ,2,1,2,5
³ß,2,2,1,1
³à,2,3,2,2
³á,4,3,5,3
³â,1,2,1,2
³ã,2,3,3,3
³ä,3,2,1,2
³å,2,3,1,1
³æ,3,3,1,0
³ç,4,4,3,3
³è,3,2,2,4
³é,4,4,1,1
³ê,4,7,2,3
³ë,7,5,2,0
³ì,8,6,2,0
³í,6,6,2,3
³î,1,3,5,5
³ï,6,4,3,2
³ð,2,3,0,2
³ñ,7,5,1,4
³ò,5,4,3,4
³ó,3,2,0,0
³ô,5,3,2,2
³õ,2,3,3,3
³ö,2,5,0,0
³÷,7,5,4,3
³ø,6,4,3,2
³ù,10,9,0,1
³ú,8,5,1,3
³û,8,3,1,3
³ü,3,3,7,4
³ý,3,3,5,3
³þ,5,3,3,4
´¡,5,7,0,1
´¢,6,5,1,3
´£,18,9,0,0
´¤,7,4,3,3
´¥,7,6,2,3
´¦,1,1,2,2
´§,4,8,2,2
´¨,0,3,0,1
´©,3,2,3,4
´ª,4,2,4,7
´«,3,2,1,3
´¬,6,6,3,3
´­,5,9,1,1
´®,4,5,0,0
´¯,3,4,4,2
´°,4,3,3,6
´±,8,6,3,1
´²,2,2,2,2
´³,4,5,3,0
´´,2,5,3,1
´µ,3,3,1,3
´¶,1,2,3,5
´·,6,4,1,2
´¸,8,4,0,3
´¹,4,4,0,1
´º,6,3,1,1
´»,7,4,2,2
´¼,9,7,2,2
´½,5,5,1,4
´¾,5,3,4,2
´¿,5,3,0,3
´À,12,9,3,1
´Á,7,5,7,4
´Â,7,4,0,3
´Ã,4,5,2,2
´Ä,2,3,2,4
´Å,8,2,3,6
´Æ,7,6,1,2
´Ç,7,4,2,2
´È,5,1,5,6
´É,3,3,3,5
´Ê,5,4,2,1
´Ë,3,4,0,1
´Ì,2,5,3,1
´Í,5,8,2,4
´Î,1,1,2,4
´Ï,5,5,3,3
´Ð,2,6,4,4
´Ñ,3,3,1,3
´Ò,1,3,2,3
´Ó,0,2,2,2
´Ô,1,2,2,2
´Õ,5,2,3,3
´Ö,5,3,2,2
´×,9,8,0,1
´Ø,7,5,4,6
´Ù,3,4,1,2
´Ú,9,9,2,3
´Û,8,5,3,4
´Ü,5,5,2,3
´Ý,6,6,2,2
´Þ,5,5,1,1
´ß,5,6,1,2
´à,7,5,2,4
´á,3,4,5,3
´â,3,4,5,4
´ã,2,3,5,3
´ä,4,5,7,4
´å,2,2,3,1
´æ,3,2,1,2
´ç,1,1,2,0
´è,8,4,1,2
´é,8,5,2,3
´ê,6,3,2,2
´ë,6,5,1,1
´ì,3,4,3,3
´í,8,5,0,2
´î,5,6,2,2
´ï,3,2,2,2
´ð,5,5,2,3
´ñ,5,6,3,2
´ò,2,2,2,1
´ó,1,1,1,1
´ô,3,3,1,1
´õ,2,0,1,2
´ö,3,3,4,4
´÷,7,7,3,2
´ø,3,8,1,1
´ù,5,2,2,3
´ú,1,2,2,1
´û,2,5,3,2
´ü,2,3,4,4
´ý,3,3,2,2
´þ,5,3,4,3
µ¡,3,3,3,2
µ¢,5,4,0,4
µ£,5,3,1,1
µ¤,2,2,2,1
µ¥,4,3,1,1
µ¦,5,4,3,2
µ§,5,4,2,2
µ¨,7,4,1,1
µ©,4,2,0,0
µª,3,3,5,5
µ«,4,3,0,1
µ¬,4,4,2,2
µ­,0,2,6,5
µ®,6,4,2,4
µ¯,7,6,2,1
µ°,6,4,2,2
µ±,3,2,1,1
µ²,4,3,2,2
µ³,4,7,1,2
µ´,3,3,3,4
µµ,4,3,2,2
µ¶,1,2,1,1
µ·,4,7,4,2
µ¸,9,6,2,3
µ¹,4,4,2,2
µº,3,6,3,1
µ»,5,3,4,1
µ¼,4,3,2,0
µ½,4,3,2,1
µ¾,6,3,3,5
µ¿,5,5,1,1
µÀ,7,3,2,3
µÁ,3,5,2,4
µÂ,4,7,2,3
µÃ,5,4,2,2
µÄ,4,3,2,2
µÅ,9,6,3,4
µÆ,1,2,3,2
µÇ,5,2,3,4
µÈ,5,4,3,2
µÉ,9,4,3,4
µÊ,7,4,3,5
µË,2,1,3,2
µÌ,7,4,1,1
µÍ,2,3,2,4
µÎ,5,5,5,2
µÏ,5,4,1,1
µÐ,5,3,1,3
µÑ,5,5,1,2
µÒ,0,2,3,4
µÓ,2,1,5,4
µÔ,6,4,5,3
µÕ,6,5,4,3
µÖ,3,3,3,4
µ×,3,3,3,4
µØ,3,5,1,1
µÙ,4,7,3,1
µÚ,5,7,2,3
µÛ,3,5,3,1
µÜ,3,5,2,2
µÝ,5,6,3,3
µÞ,5,5,3,4
µß,8,6,2,3
µà,5,5,2,2
µá,6,3,3,2
µâ,6,6,1,2
µã,3,3,3,1
µä,3,4,1,1
µå,9,4,3,4
µæ,4,4,2,2
µç,4,4,0,0
µè,3,4,0,1
µé,4,4,1,1
µê,4,4,1,1
µë,4,5,2,2
µì,5,5,2,3
µí,3,1,4,4
µî,7,6,2,4
µï,8,7,1,2
µð,3,3,1,1
